LocationID,Date,Observer,Species,Count,Link
L3290632,2019-9-15,poshien chien,Eastern Spot-billed Duck,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Rock Pigeon (Feral Pigeon),10,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Oriental Turtle-Dove,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Red Collared-Dove,40,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Spotted Dove,8,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,White-breasted Waterhen,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Sandpiper,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Heron,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Intermediate Egret,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Little Egret,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Cattle Egret,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black-crowned Night-Heron,16,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,African Sacred Ibis,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Kingfisher,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black Drongo,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Treepie,3,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Oriental Magpie,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Plain Prinia,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray-throated Martin,1,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Barn Swallow,18,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Light-vented Bulbul,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Swinhoe's White-eye,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Black-collared Starling,2,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Common Myna,4,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Javan Myna,30,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Scaly-breasted Munia,6,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Eurasian Tree Sparrow,50,/view/checklist/S59812041
L3290632,2019-9-15,poshien chien,Gray Wagtail,1,/view/checklist/S59812041
L3290632,2019-8-21,Kevin Chao,Common Sandpiper,3,/view/checklist/S59140266
L3290632,2019-8-21,Kevin Chao,White Wagtail (Chinese),3,/view/checklist/S59140266
L3290632,2019-8-15,Peter Bijlmakers,Eastern Spot-billed Duck,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Rock Pigeon (Feral Pigeon),15,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Turtle-Dove,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Red Collared-Dove,12,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White-breasted Waterhen,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Sandpiper,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray Heron,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Great Egret,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Little Egret,10,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Cattle Egret,14,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black-crowned Night-Heron,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,African Sacred Ibis,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Kingfisher,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black Drongo,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray Treepie,8,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Magpie,3,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Yellow-bellied Prinia,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Plain Prinia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Zitting Cisticola,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Gray-throated Martin,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Barn Swallow,6,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Pacific Swallow,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Striated Swallow,2,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Light-vented Bulbul,14,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Swinhoe's White-eye,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Black-collared Starling,6,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Common Myna,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Javan Myna,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Oriental Magpie-Robin,1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White-rumped Munia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Scaly-breasted Munia,4,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,Eurasian Tree Sparrow,-1,/view/checklist/S59001287
L3290632,2019-8-15,Peter Bijlmakers,White Wagtail,1,/view/checklist/S59001287
L6675201,2019-9-5,yaoder chen,Green-winged Teal,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Japanese Quail,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Ashy Wood-Pigeon,1,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Great Egret,5,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Little Egret,2,/view/checklist/S59527122
L6675201,2019-9-5,yaoder chen,Black-crowned Night-Heron,1,/view/checklist/S59527122
L6675201,2019-8-31,Anonymous User,Black-winged Stilt,3,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,white egret sp.,40,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,Black-crowned Night-Heron,15,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,African Sacred Ibis,50,/view/checklist/S59392879
L6675201,2019-8-31,Anonymous User,black myna sp.,15,/view/checklist/S59392879
L6675201,2019-7-28,Steven Chen,Eurasian Moorhen,6,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,Little Ringed Plover,2,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,African Sacred Ibis,6,/view/checklist/S58556353
L6675201,2019-7-28,Steven Chen,Vinous-throated Parrotbill,2,/view/checklist/S58556353
L6675201,2019-7-14,Steven Chen,Eurasian Moorhen,3,/view/checklist/S58214987
